date,n1,n2,n3,n4,n5,n6
10/19/2016,10,19,16,3,4,5
10/22/2016,10,22,16,5,18,20
10/26/2016,10,26,16,3,9,17
10/29/2016,10,29,16,2,4,12
11/02/2016,11,2,16,1,8,15
11/05/2016,11,5,16,2,7,12
11/09/2016,11,9,16,20,25,28
11/12/2016,11,12,16,1,3,32
11/16/2016,11,16,16,1,2,7
11/19/2016,11,19,16,11,19,23
11/23/2016,11,23,16,1,8,12
11/26/2016,11,26,16,11,15,17
11/30/2016,11,30,16,1,6,12
12/03/2016,12,3,16,3,7,12
12/07/2016,12,7,16,1,5,23
12/10/2016,12,10,16,2,9,12
12/14/2016,12,14,16,3,7,17
12/17/2016,12,17,16,2,14,16
12/21/2016,12,21,16,2,8,14
12/24/2016,12,24,16,9,10,14
12/28/2016,12,28,16,6,10,21
12/31/2016,12,31,16,5,8,18
01/04/2017,1,4,17,2,3,17
01/07/2017,1,7,17,4,25,29
01/11/2017,1,11,17,13,14,15
01/14/2017,1,14,17,6,10,20
01/18/2017,1,18,17,5,11,19
01/21/2017,1,21,17,1,4,17
01/25/2017,1,25,17,4,6,15
01/28/2017,1,28,17,10,14,25
02/01/2017,2,1,17,4,13,18
02/04/2017,2,4,17,6,18,19
02/08/2017,2,8,17,10,13,29
02/11/2017,2,11,17,1,19,21
02/15/2017,2,15,17,3,12,13
02/18/2017,2,18,17,6,8,19
02/22/2017,2,22,17,4,10,12
02/25/2017,2,25,17,10,14,23
03/01/2017,3,1,17,5,17,19
03/04/2017,3,4,17,8,13,20
03/08/2017,3,8,17,2,11,19
03/11/2017,3,11,17,8,13,18
03/15/2017,3,15,17,2,19,21
03/18/2017,3,18,17,5,17,22
03/22/2017,3,22,17,19,20,26
03/25/2017,3,25,17,3,4,5
03/29/2017,3,29,17,2,6,8
04/01/2017,4,1,17,1,11,14
04/05/2017,4,5,17,13,22,34
04/08/2017,4,8,17,9,11,13
04/12/2017,4,12,17,7,8,24
04/15/2017,4,15,17,2,8,14
04/19/2017,4,19,17,6,7,8
04/22/2017,4,22,17,3,13,14
04/26/2017,4,26,17,5,10,16
04/29/2017,4,29,17,1,7,16
05/03/2017,5,3,17,8,21,28
05/06/2017,5,6,17,2,3,11
05/10/2017,5,10,17,9,13,24
05/13/2017,5,13,17,1,12,17
05/17/2017,5,17,17,2,4,13
05/20/2017,5,20,17,7,12,20
05/24/2017,5,24,17,5,14,16
05/27/2017,5,27,17,2,8,10
05/31/2017,5,31,17,14,20,22
06/03/2017,6,3,17,4,8,9
06/07/2017,6,7,17,1,8,17
06/10/2017,6,10,17,2,7,8
06/14/2017,6,14,17,8,16,17
06/17/2017,6,17,17,2,6,12
06/21/2017,6,21,17,8,12,18
06/24/2017,6,24,17,3,11,15
06/28/2017,6,28,17,19,22,26
07/01/2017,7,1,17,1,14,20
