n1,n2,n3,n4,n5,n6,draw_date
3,15,17,2,19,21,2017-03-15
3,18,17,5,17,22,2017-03-18
3,22,17,19,20,26,2017-03-22
3,25,17,3,4,5,2017-03-25
3,29,17,2,6,8,2017-03-29
4,1,17,1,11,14,2017-04-01
4,5,17,13,22,34,2017-04-05
4,8,17,9,11,13,2017-04-08
4,12,17,7,8,24,2017-04-12
4,15,17,2,8,14,2017-04-15
4,19,17,6,7,8,2017-04-19
4,22,17,3,13,14,2017-04-22
4,26,17,5,10,16,2017-04-26
4,29,17,1,7,16,2017-04-29
5,3,17,8,21,28,2017-05-03
5,6,17,2,3,11,2017-05-06
5,10,17,9,13,24,2017-05-10
5,13,17,1,12,17,2017-05-13
5,17,17,2,4,13,2017-05-17
5,20,17,7,12,20,2017-05-20
5,24,17,5,14,16,2017-05-24
5,27,17,2,8,10,2017-05-27
5,31,17,14,20,22,2017-05-31
6,3,17,4,8,9,2017-06-03
6,7,17,1,8,17,2017-06-07
6,10,17,2,7,8,2017-06-10
6,14,17,8,16,17,2017-06-14
6,17,17,2,6,12,2017-06-17
6,21,17,8,12,18,2017-06-21
6,24,17,3,11,15,2017-06-24
6,28,17,19,22,26,2017-06-28
